naziv,stanje,cena
Lezaj valjk. 32206        ,2,
Lezaj 32206 A FAG,14,1720
Lezaj valjk. 32207        ,4,310
Lezaj 32207 A FAG,5,1840
Lezaj valjk. 32208        ,14,360
Lezaj 32208 A FAG,38,2060
Lezaj valjk. 32209  ,8,410
Lezaj 32209 A FAG      ,27,2310
Lezaj valjk. 32210        ,2,
Lezaj 32210 A FAG,25,2580
Lezaj valjk. 32211        ,2,
Lezaj 32211 A FAG,17,3510
Lezaj 32212 A FAG,6,4190
Lezaj valjk. 32212.,1,1615
Lezaj valjk. 32213        ,1,1695
Lezaj 32213 A FAG,10,5230
Lezaj 32214 A FAG,12,5510
Lezaj valjk. 32215        ,1,2115
Lezaj 32215 A FAG,9,5910
Lezaj valjk. 32216 -        ,1,1932
Lezaj 32216 A FAG,9,6690
Lezaj 32217 A FAG      ,7,8050
Lezaj valjk. 32218 -,11,2912
Lezaj 32218 A FAG,9,10560
Lezaj valjk. 32219        ,9,3175
Lezaj 32219 A FAG,4,13280
Lezaj 32220 A FAG        ,7,15780
Lezaj valjk. 32221        ,1,4623
Lezaj valjk. 32221-      ,6,7850
Lezaj 32222 A FAG       ,2,25760
Lezaj 32226 A FAG ,2,58000
Lezaj 322/28 B ,2,2000
Lezaj valjk. 32236        ,1,39360
Lezaj valjk. 32238        ,2,45586
Lezaj 32303 A FAG ,2,
Lezaj 32305 A FAG,13,1980
Lezaj valjk. 32306 -        ,16,722
Lezaj 32306 A FAG       ,11,2490
Lezaj 32307 A FAG        ,20,2890
Lezaj 32308 A FAG,18,3510
Lezaj valjk. 32308.,4,1475
Lezaj 32309 A FAG,14,4210
Lezaj 32310 A FAG,13,5230
Lezaj valjk. 32311        ,1,1696
Lezaj valjk. 32311 -        ,23,1850
Lezaj 32311 A FAG,9,6680
Lezaj 32311 B FAG,1,10520
Lezaj valjk. 32312        ,2,
Lezaj 32312 A FAG,7,8140
Lezaj valjk. 32313 -        ,6,3242
Lezaj 32313 A FAG,4,10830
Lezaj 32313 BA FAG,2,15820
Lezaj 32314 A FAG         ,4,12740
Lezaj 32314 BA FAG        ,1,18680
Lezaj 32315 A FAG        ,2,16010
Lezaj valjk. 32316,1,6480
Lezaj 32316 A FAG,1,19180
Lezaj valjk. 32318        ,8,7861
Lezaj valjk. 32318 +,5,7861
Lezaj 32321 A FAG     ,1,59950
Lezaj valjk. 32322        ,4,19870
Lezaj valjk. 32326        ,1,32563
Lezaj 32924 FAG,2,15670
Lezaj 33005 FAG       ,1,2925
Lezaj 33010 FAG     ,5,3580
Lezaj 33011 FAG,3,4240
Lezaj 33012 A FAG    ,6,4710
Lezaj 33013 FAG,4,5090
Lezaj 33015 FAG,2,5940
Lezaj 33016 FAG,4,6980
Lezaj 33017 FAG,4,7750
Lezaj 33018 FAG,5,9450
Lezaj 33019 FAG       ,5,9740
Lezaj 33020 FAG ,4,10150
Lezaj 33021 FAG,6,13330
Lezaj 33022 FAG        ,3,14710
Lezaj 33024 FAG      ,1,20570
Lezaj 33108 FAG,13,3350
Lezaj 33109 FAG,7,3260
Lezaj 33110 FAG,5,3690
Lezaj 33111 FAG,4,4330
Lezaj 33112 FAG,5,5120
Lezaj 33113 FAG,6,5780
Lezaj valjk. 33113 -,6,
Lezaj 33114 FAG,5,7050
Lezaj 33115 FAG,5,7550
Lezaj 33116 FAG,4,8140
Lezaj 33117 FAG      ,7,10000
Lezaj 33118 FAG,1,11720
Lezaj 33122 FAG,2,22330
Lezaj 33205 FAG,13,1840
Lezaj 33206 FAG,9,2300
Lezaj 33207 FAG,11,2740
Lezaj 33208 FAG,9,3280
Lezaj 33209 FAG,7,3710
Lezaj 33210 FAG,5,4030
Lezaj 33211 FAG,4,4890
Lezaj 33212 FAG,7,6320
Lezaj 33213 FAG      ,6,7180
Lezaj 33214 FAG,5,7550
Lezaj 33215 FAG      ,2,9130
Lezaj 33216 FAG      ,4,11720
Lezaj 33217 FAG,2,14120
Lezaj valjk. 34210  -        ,2,1064
Lezaj valjk. 7706,1,530
Lezaj valjk. 7712 -,4,1680
Lezaj 7805 ,3,289
Lezaj valjk. 7805 -,2,289
Lezaj 807713,5,1800
Lezaj valjk. 807813 -,10,2016
Lezaj 51100 FAG        ,4,750
Lezaj 51101 FAG     ,8,750
Lezaj 51102 FAG    ,20,750
Lezaj 51103 FAG  ,23,750
Lezaj 51104 FAG     ,26,750
Lezaj aksij.51105        ,6,156
Lezaj 51105 FAG        ,30,830
Lezaj aksij.51106        ,5,
Lezaj aksij.51106 -,16,950
Lezaj 51106 FAG,24,890
Lezaj aksij.51107        ,2,
Lezaj aksij.51107 -       ,6,157
Lezaj 51107 FAG      ,20,950
Lezaj aksij.51108        ,3,
Lezaj 51108 FAG,31,1150
Lezaj 51109 FAG,19,1310
Lezaj.51109 FAG,2,
Lezaj 51110 FAG,8,1420
Lezaj aksij.51111,4,430
Lezaj 51111 FAG,5,1760
Lezaj aksij.51112 -        ,13,381
Lezaj 51112 FAG        ,5,1960
Lezaj 51113 FAG       ,8,2120
Lezaj 51114 FAG       ,5,2320
Lezaj 51115 FAG,6,2630
Lezaj 51116 FAG       ,5,2970
Lezaj aksij.51117 -       ,1,764
Lezaj 51117 FAG       ,2,3360
Lezaj 51118 -        ,3,1800
Lezaj 51118 FAG    ,9,4320
Lezaj aksij.51120 -,3,1310
Lezaj 51120 FAG,4,6330
Lezaj aksij.51120-,1,2643
Lezaj aksij.51122,2,1196
Lezaj 51122 FAG,2,7020
Lezaj aksij.51124 -,1,2379
Lezaj 51124 FAG,2,8270
Lezaj aksij.51126        ,1,1795
Lezaj 51126 FAG,2,10290
Lezaj aksij.51126 -    ,7,3343
Lezaj 51128 FAG,2,12590
Lezaj aksij.51200        ,1,241
Lezaj 51200 FAG,10,930
Lezaj 51201 FAG  ,10,930
Lezaj 51202 FAG        ,10,910
Lezaj 51203 FAG,7,950
Lezaj 51204 FAG,14,1000
Lezaj 51205 FAG,14,1110
Lezaj 51206 FAG,9,1250
Lezaj aksij.51207        ,4,225
Lezaj 51207 FAG       ,12,1540
Lezaj 51208 FAG,12,1730
Lezaj aksij.51209 -,3,392
Lezaj 51209 FAG,9,1900
Lezaj aksij.51210 -,21,454
Lezaj 51210 FAG,4,2120
Lezaj aksij.51211        ,1,423
Lezaj aksij.51211 -        ,8,599
Lezaj 51211 FAG      ,2,2900
Lezaj aksij.51212 -,16,689
Lezaj 51212 FAG,4,3180
Lezaj aksij.51213        ,17,800
Lezaj aksij.51213 -,5,857
Lezaj 51213 FAG,1,3640
Lezaj aksij.51214 -       ,3,879
Lezaj 51214 FAG,3,4050
Lezaj 51215 FAG,2,4460
Lezaj aksij.51216 *       ,2,5010
Lezaj aksij.51217 -,8,1288
Lezaj aksij.51217 *,2,6460
Lezaj 51218 FAG,1,8200
Lezaj aksij.51224 +       ,2,2700
Lezaj aksij.51226        ,2,4542
Lezaj aksij.51228  -,15,12950
Lezaj 51228 FAG,4,35670
Lezaj aksij.51228 -,1,37990
Lezaj aksij.51230        ,3,6627
Lezaj aksij.51305        ,1,202
Lezaj 51305 FAG,8,1530
Lezaj aksij.51306        ,1,215
Lezaj aksij.51307        ,8,269
Lezaj 51307 FAG,13,2120
Lezaj 51308 FAG     ,16,2590
Lezaj aksij.51309,2,806
Lezaj aksij.51309 -,24,706
Lezaj 51309 FAG,5,3090
Lezaj aksij.51310        ,1,949
Lezaj aksij.51310 -        ,1,949
Lezaj 51310 FAG      ,2,4050
Lezaj aksij.51311-        ,2,1210
Lezaj 51311 FAG,3,5360
Lezaj 51312 FAG    ,3,6320
Lezaj aksij.51313        ,1,1540
Lezaj aksij.51313*        ,2,8750
Lezaj aksij.51315*    ,2,12310
Lezaj aksij.51316 -,9,2643
Lezaj 51316 FAG,3,13590
Lezaj aksij.51317        ,9,3284
Lezaj aksij.51318        ,4,3712
Lezaj aksij.51318 -        ,8,3712
Lezaj aksij.51318-        ,1,4379
Lezaj 51324 MP FAG,1,51230
Lezaj aksij.51405        ,3,750
Lezaj 51405 FAG,6,3360
Lezaj 51406 FAG,4,3650
Lezaj 51407 FAG,5,4610
Lezaj 51408 FAG      ,2,5060
Lezaj 51409 FAG,5,7435
Lezaj aksij.52204-,6,538
Lezaj 52206 FAG,2,2830
Lezaj aksij.52209 --     ,1,1814
Lezaj 52213 FAG,11,10890
Lezaj aksij.52228 -,1,76070
Lezaj 52306 FAG,1,4880
Lezaj aksij.52312,2,5914
Lezaj 52312 FAG,2,16270
Lezaj aksij.52316 -,1,9139
Lezaj 53205 FAG,3,1970
Lezaj 53207 FAG,10,2860
Sferni prsten U 207,5,
Lezaj 53210 U FAG,4,4715
Lezaj 53212 FAG,5,6070
Sferni prsten U 212,5,4105
Lezaj 53222 FAG      ,2,20740
Lezaj 53307 FAG,2,3810
Sferni prsten U 307,2,2220
Lezaj aksij.53312        ,3,3709
Lezaj 53314 FAG,2,15230
Lezaj 53316 FAG       ,2,19540
Sferni prsten U 316,4,7815
Lezaj 53318 FAG       ,1,25550
Lezaj 54312 FAG,3,26870
Lezaj 54318 FAG      ,13,71055
Lezaj aksij.54406 U -,1,7280
Lezaj 81106 AS INA,1,3075
Lezaj 81206 TN INA,2,4365
Lezaj 81207 TN INA,2,5155
Lezaj 81208 TN INA,1,5510
Lezaj 81210 TN INA,3,7315
Lezaj 81211 TV INA,2,9755
Lezaj 234420 SP,1,89350
Lezaj 234432 SP,3,7500
Lezaj valjk. NA 12,7,640
Lezaj valjk. NA 17,1,1680
Lezaj valjk. NA 20 -       ,2,1840
Lezaj valjk. NA 50-,12,2660
Lezaj valjk. NA 55       ,20,2850
Lezaj valjk. NA 70,4,5530
Lezaj valjk. NA 95,2,7680
Lezaj NA 2203 -,1,3520
Lezaj NA 2205 2RS FAG,2,4790
Lezaj NA 4017 V,1,7043
Lezaj NA 4824 INA,2,22750
Lezaj NA 4901 INA,8,1660
Lezaj NA 4902 INA,10,1760
Lezaj NA 4903 INA,5,1930
Lezaj NA 4904 INA,7,2100
Lezaj NA 4905 INA,9,2340
Lezaj NA 4906 INA,8,2690
Lezaj NA 4907 INA,8,3030
Lezaj NA 4908 INA,10,3480
Lezaj NA 4909 INA,12,3920
Lezaj NA 4910 INA,4,4380
Lezaj NA 4911 INA,6,5090
Lezaj NA 4912 INA,5,6330
Lezaj NA 4914 INA,1,9840
Lezaj NA 49/22 INA,4,2190
Lezaj NA 49/28 INA,2,2550
Lezaj NA 49/32 INA,5,2890
Lezaj NA 6901 INA,3,2010
Lezaj NA 6902 INA,11,2180
Lezaj NA 6903 INA,5,2340
Lezaj NA 6904 INA,4,3530
Lezaj NA 6906 INA,6,4720
Lezaj NA 6907 INA,7,5620
Lezaj NA 6908 INA,9,6410
Lezaj NA 6909 INA,2,7340
Lezaj NA 6910 INA,2,8530
Lezaj NA 6914 INA,1,16460
Lezaj NA 69/22 INA,6,3760
Lezaj NA 69/28 INA,5,4510
Lezaj NA 69/32 INA,3,4895
Lezaj NAB 42 FKL,2,1800
Lezaj RNA 25 FKL,8,1730
Lezaj RNA 45/25 INA,2,2320
Lezaj RNA 4828 INA,1,25015
Lezaj RNA 4901 INA,5,1260
Lezaj RNA 4922 INA,1,18550
Lezaj RNA 75x92x35,1,900
Lezaj RNU 308 ,14,796
Lezaj valjk. N 204,3,560
Lezaj valjk. N 206 -,2,773
Lezaj valjk. N 208 -,16,1030
Lezaj valjk. N 212 -,17,1372
Lezaj valjk. N 214 -,3,2218
Lezaj valjk. N 224 *     ,5,39785
Lezaj valjk. N 224,6,12415
Lezaj valjk. N 307 -        ,14,1030
Lezaj valjk. N 310 -,1,1943
Lezaj valjk. N 311,2,2274
Lezaj valjk. N 316 E.TVP2,2,24220
Lezaj valjk. N 213,1,13425
Lezaj valjk. NF 218       ,5,3333
Lezaj NJ 203 ETVP2 FAG,19,1980
Lezaj NJ 204 ETVP2 FAG     ,26,2100
Lezaj valjk. NJ 205      ,1,345
Lezaj NJ 205 ETVP2 FAG,11,2250
Lezaj NJ 206 ETVP2 FAG,12,2600
Lezaj NJ 207 ETVP2 FAG,31,3020
Lezaj valjk. NJ 208 -,4,1053
Lezaj NJ 208 ETVP2 FAG,18,3490
Lezaj valjk. NJ 209      ,1,986
Lezaj NJ 209 ETVP2 FAG,6,3850
Lezaj valjk. NJ 209 C3,1,1770
Lezaj NJ 210 ETVP2 FAG,5,4120
Lezaj valjk. NJ 210 NA -     ,2,1680
Lezaj NJ 211 ETVP2 FAG   ,7,4820
Lezaj NJ 212 ETVP2 FAG   ,6,5800
Lezaj valjk. NJ 213      ,4,2460
Lezaj valjk. NJ 213 -      ,4,2460
Lezaj valjk. NJ 213  ETVP2,1,7785
Lezaj valjk. NJ 214 -,2,1765
Lezaj NJ 214 ETVP2 FAG,2,8485
Lezaj valjk. NJ 215 -      ,9,2436
Lezaj NJ 215 ETVP2 FAG,4,8360
Lezaj NJ 216 ETVP2 FAG,5,9470
Lezaj NJ 217 ETVP2 FAG     ,1,10930
Lezaj valjk. NJ 218      ,3,5900
Lezaj NJ 218 ETVP2 FAG,2,12810
Lezaj NJ 219 ,6,7420
Lezaj valjk. NJ 228,1,9298
Lezaj NJ 303 ETVP2 FAG,10,2380
Lezaj NJ 304 ETVP2 FAG,8,2580
Lezaj valjk. NJ 305      ,1,1456
Lezaj NJ 305 ETVP2 FAG,5,3085
Lezaj valjk. NJ 305-,3,1460
Lezaj NJ 306 ETVP2 FAG,16,3370
Lezaj valjk. NJ 307 -     ,22,1109
Lezaj NJ 307 ETVP2 FAG,6,3730
Lezaj NJ 308 ETVP2 FAG    ,3,4490
Lezaj valjk. NJ 308   -,1,2229
Lezaj valjk. NJ 309      ,4,1310
Lezaj valjk. NJ 309 -      ,38,1736
Lezaj NJ 309 ETVP2 FAG,8,5260
Lezaj valjk. NJ 309-,1,1932
Lezaj valjk. NJ 310       ,4,1749
Lezaj valjk. NJ 310 -       ,16,2085
Lezaj NJ 310 ETVP2 FAG,5,6340
Lezaj valjk. NJ 311  -,6,2435
Lezaj NJ 311 ETVP2 FAG,6,7550
Lezaj NJ 312 ETVP2 FAG,4,8880
Lezaj NJ 313 ETVP2 FAG,1,10680
Lezaj valjk. NJ 313 +,4,5807
Lezaj valjk. NJ 314 -      ,4,3898
Lezaj NJ 314 ETVP2 FAG,1,12650
Lezaj valjk. NJ 315 -      ,3,5018
Lezaj NJ 315 ETVP2 FAG      ,2,14690
Lezaj NJ 316 ETVP2 FAG   ,1,17140
Lezaj NJ 317 ETVP2 FAG,5,20110
Lezaj NJ 318 ETVP2 FAG   ,2,25440
Lezaj valjk. NJ 324      ,3,12653
Lezaj NJ 409 M FAG   ,2,23120
Lezaj NJ 409 FAG    ,2,11940
Lezaj NJ 410 FAG,2,17150
Lezaj valjk. NJ 411      ,2,3056
Lezaj valjk. NJ 2205  -,2,840
Lezaj NJ 2206 ETVP2 FAG       ,6,3190
Lezaj NJ 2207 ETVP2 FAG,6,3600
Lezaj NJ 2208 ETVP2 FAG     ,7,4330
Lezaj NJ 2209 ETVP2 FAG,7,4760
Lezaj valjk. NJ 2209 +,1,1008
Lezaj NJ 2210 ETVP2 FAG,5,5140
Lezaj valjk. NJ 2211- NUP     ,1,1640
Lezaj NJ 2211 ETVP2 FAG,6,6070
Lezaj NJ 2213 ETVP2 FAG,9,8300
Lezaj valjk. NJ 2214 -,4,3830
Lezaj NJ 2216 ,3,5550
Lezaj NJ 2216 E.TVP2 FAG,2,11810
Lezaj valjk. NJ 2220 -,4,5600
Lezaj valjk. NJ 2220 +,6,4704
Lezaj valjk. NJ 2304-,7,1176
Lezaj NJ 2305 ETVP2 FAG    ,6,3490
Lezaj NJ 2306 ETVP2 FAG    ,1,4260
Lezaj valjk. NJ 2307 -,1,2386
Lezaj NJ 2307 ETVP2 FAG   ,7,4980
Lezaj NJ 2308 ETVP2 FAG,8,6090
Lezaj NJ 2309 ETVP2 FAG     ,2,7410
Lezaj valjk. NJ 2309 -,2,2722
Lezaj NJ 2310 ETVP2 FAG    ,4,9220
Lezaj NJ 2311 ETVP2 FAG,5,10930
Lezaj valjk. NJ 2312 -,6,4614
Lezaj NJ 2312 ETVP2 FAG,2,13210
Lezaj NJ 2313 ETVP2 FAG,2,16050
Lezaj NJ 2314 ETVP2 FAG   ,2,19320
Lezaj valjk. NJ 2316 -,1,8809
Lezaj valjk. NN 3007K     ,2,6698
Lezaj valjk. NN 3008K     ,4,6339
Lezaj valjk. NN 3012K     ,1,7000
Lezaj valjk. NN 3013K     ,7,7829
Lezaj valjk. NN 3014K     ,1,8500
Lezaj valjk. NN 3016K     ,4,9038
Lezaj valjk. NN 3021K     ,1,15008
Lezaj valjk. NN 3026K     ,2,22019
Lezaj valjk. NN 3028K     ,1,24584
Lezaj valjk. NN 3032K     ,1,37727
Lezaj valjk. NN 3013 ASK.M.SP*,1,36500
Lezaj valjk. NN 3018 AS.KM.SP *,2,54800
Lezaj NU 202 ETVP2 FAG,111,1790
Lezaj NU 203 ETVP2 FAG,6,1830
Lezaj valjk.NU 204,12,890
Lezaj valjk.NU 205      ,8,960
Lezaj NU 205 ETVP2 FAG,6,2000
Lezaj valjk.NU 206       ,6,1120
Lezaj NU 206 ETVP2 FAG,8,2350
Lezaj NU 207 ETVP2 FAG,7,2760
Lezaj valjk.NU 208      ,3,1420
Lezaj NU 208 ETVP2 FAG,16,3100
Lezaj valjk.NU 209 -,1,1109
Lezaj NU 209 ETVP2 FAG,11,3960
Lezaj valjk.NU 209 C3     ,2,1580
Lezaj valjk.NU 210,12,2016
Lezaj NU 210 E.TVP2 FAG,16,3730
Lezaj valjk.NU 211,6,2430
Lezaj NU 211 ETVP2 FAG,5,5170
Lezaj valjk.NU 212  -      ,4,1372
Lezaj NU 212 ETVP2 FAG,2,5260
Lezaj valjk.NU 213 -,5,1742
Lezaj NU 213 ETVP2 FAG,1,6250
Lezaj NU 216 E M1 C3 FAG,1,15600
Lezaj NU 216 ETVP2 FAG,2,8540
Lezaj valjk.NU 217 -,9,3696
Lezaj valjk.NU 218 +,4,2582
Lezaj valjk.NU 219 -,1,8075
Lezaj valjk.NU 219 +,5,8075
Lezaj valjk.NU 220    ,1,24055
Lezaj valjk.NU 222,1,7340
Lezaj valjk.NU 224 +    ,1,6854
Lezaj valjk.NU 226      ,1,8057
Lezaj valjk.NU 228      ,3,8394
Lezaj NU 304 ,3,850
Lezaj valjk.NU 305,1,1344
Lezaj NU 305 ETVP2 FAG,11,2480
Lezaj NU 306 ETVP2 FAG,9,2800
Lezaj valjk.NU 306-,4,1030
Lezaj valjk.NU 307 -      ,4,1109
Lezaj NU 307 ETVP2 FAG,8,3260
Lezaj valjk.NU 308,5,1600
Lezaj valjk.NU 308 M -,3,1680
Lezaj NU 308 ETVP2 FAG,2,3870
Lezaj NU 309 E.TVP2 FAG,3,4830
Lezaj valjk.NU 310 -,5,2083
Lezaj NU 310 ETVP2 FAG,2,5730
Lezaj NU 311 ETVP2 FAG,3,6690
Lezaj valjk.NU 312 -,6,2862
Lezaj NU 312 ETVP2 FAG,1,9140
Lezaj valjk.NU 312-,4,2990
Lezaj valjk.NU 313,44,4906
Lezaj valjk.NU 314 ,4,2856
Lezaj valjk.NU 315      ,1,2981
Lezaj valjk.NU 315 -      ,4,3696
Lezaj NU 315 ETVP2 FAG,2,14785
Lezaj NU 316 ETVP2 FAG,2,15280
Lezaj NU 317 EM1C3 FAG,2,32245
Lezaj valjk.NU 318 -,10,6160
Lezaj NU 318 ETVP2 FAG,1,20330
Lezaj NU 319 ETVP2 FAG,4,22400
Lezaj valjk.NU 320 -,3,7392
Lezaj NU 320 ETVP2 FAG,4,28050
Lezaj valjk.NU 322      ,6,9064
Lezaj valjk.NU 322 +    ,1,9064
Lezaj valjk.NU 324 +    ,1,10134
Lezaj NU 326 ,3,14200
Lezaj NU 409 ,2,5140
Lezaj valjk.NU 411      ,31,7400
Lezaj NU 413 M1 FAG    ,4,32350
Lezaj valjk.NU 1005 M,1,5250
Lezaj valjk.NU 1007 M,2,5280
Lezaj valjk.NU 1010 M -,2,3900
Lezaj valjk.NU 1011 M ,2,8940
Lezaj valjk.NU 1012 M - ,1,3287
Lezaj valjk.NU 1012 M- ,3,10195
Lezaj valjk.NU 1012 M  - ,2,3494
Lezaj NU 1013 M FAG,2,9590
Lezaj NU 1014 M FAG ,1,12030
Lezaj valjk.NU 1015 -,3,14970
Lezaj NU 1016 M FAG,2,13690
Lezaj NU 1019 M FAG,1,18320
Lezaj NU 1021 M FAG,2,23990
Lezaj valjk.NU 1022     ,1,6009
Lezaj valjk.NU 1024     ,1,6808
Lezaj NU 1048 M FAG,2,176480
Lezaj valjk.NU 2204,3,2621
Lezaj NU 2205 E.TVP2 FAG,7,2765
Lezaj NU 2206 E TVP2 FAG,11,2880
Lezaj NU 2207 E.TVP2 FAG,2,3300
Lezaj NU 2208 E.TVP2 FAG,6,4430
Lezaj valjk.NU 2208  -,1,1770
Lezaj valjk.NU 2209     ,1,1277
Lezaj NU 2209 ETVP2 FAG,10,4280
Lezaj NU 2211 ETVP2 FAG,5,5510
Lezaj valjk.NU 2212 - ,1,2570
Lezaj valjk.NU 2213 -,1,2559
Lezaj valjk.NU 2218,1,3153
Lezaj NU 2220 E.TVP FAG,1,21510
Lezaj NU 2308 ETVP2 FAG,1,
Lezaj valjk.NU 2310,3,4040
Lezaj valjk.NU 2312 -,1,4301
Lezaj valjk.NU 2315  -,1,26092
Lezaj valjk.NU 2315 -,1,9912
Lezaj valjk.NU 2316     ,4,5015
Lezaj valjk.NU 2318,1,6928
Lezaj NUP 205 ETVP2 FAG,2,2790
Lezaj NUP 206 ETVP2 FAG,7,3010
Lezaj NUP 207 ETVP2 FAG,2,3390
Lezaj valjk. NUP 208 ETVP2,2,3830
Lezaj NUP 209 ETVP2 FAG,3,4350
Lezaj NUP 211 ETVP2 FAG,3,5850
Lezaj valjk. NUP 216 -,2,3170
Lezaj valjk. NUP 305 -,1,1142
Lezaj NUP 305 ETVP2 FAG,2,3210
Lezaj NUP 306 ETVP2 FAG,11,3730
Lezaj NUP 307 ETVP2 FAG,2,4300
Lezaj NUP 308 ETVP2 FAG,10,5140
Lezaj NUP 309 ETVP2 FAG,7,6100
Lezaj valjk. NUP 310  -,13,2218
Lezaj valjk. NUP 311 -,1,2800
Lezaj NUP 1017 N M1A C3 FAG,2,31680
Lezaj valjk. NUP 2205 - ,9,1030
Lezaj NUP 2206 ETVP2 FAG,5,3600
Lezaj NUP 2207 ETVP2 FAG,3,4120
Lezaj NUP 2208 ETVP2 FAG,4,5080
Lezaj valjk. NUP 2210,1,2500
Lezaj NUP 2210 ETVP2 FAG,6,5780
Lezaj NUP 2211 ETVP2 FAG,3,6680
Lezaj NUP 2212 ETVP2 FAG,9,8000
Lezaj NUP 2215 ETVP2 FAG,1,11650
Lezaj NUP 2216 ETVP2 FAG,2,13600
Lezaj valjk. NUP 2305 -,2,1982
Lezaj valjk. NUP 2309 -,1,3696
Lezaj kugl. UY 205,2,
Lezaj kugl. UY 206       ,5,1125
Lezaj kugl. UY 206 +       ,5,1125
Lezaj UC 206 ,2,
Lezaj kugl. UC 207,2,
Lezaj kugl. UC 208,2,
Lezaj kugl. UC 209,2,
Lezaj kugl. UC 210,2,
Lezaj kugl. UC 212,8,4560
Lezaj UC 215 FAG,5,7470
Lezaj kugl. LE 204 - FKL,3,750
Lezaj kugl. LE 205 - FKL,10,870
Lezaj kugl. LE 206 - FKL,12,1060
Lezaj kugl. LE 206-101-LY ZIS,2,1460
Lezaj kugl. LE 206-102-UY ZIS,2,1165
Lezaj kugl. LE 206-104-UY ZIS,1,1165
Lezaj kugl. LE 207 - FKL        ,20,1280
Lezaj kugl. LE 207-104-UY ZIS,3,1545
Lezaj kugl. LE 208 - FKL      ,7,1530
Lezaj kugl. LE 208-108-UY ZIS,1,1815
Lezaj kugl. LE 209 - FKL        ,3,1615
Lezaj kugl. LE 210 - FKL  ,4,1830
Lezaj kugl. LE 211 - FKL,6,2375
Lezaj kugl. LE 212 - FKL,2,3175
Lezaj kugl. LEF 206,12,1730
Lezaj LS 207 ,5,1500
Lezaj LS 208 ,2,1600
Lezaj GRAE 12 NPPB INA,8,1520
Lezaj GRAE 15 NPPB INA,11,1520
Lezaj GRAE 20 NPPB INA,2,1290
Lezaj GRAE 25 NPPB INA,14,1570
Lezaj GRAE 30 NPPB INA,10,1670
Lezaj GRAE 35 NPPB INA,9,2030
Lezaj GRAE 40 NPPB INA,15,2460
Lezaj GRAE 45 NPPB INA,9,2930
Lezaj GRAE 50 NPPB INA,5,3170
Lezaj PASE 30 N INA,2,2650
Lezaj UC 204 FAG,15,1030
Lezaj UC 205 FAG,24,1190
Lezaj UC 206 FAG,20,1450
Lezaj UC 207 FAG,18,1750
Lezaj UC 208 FAG,12,2100
Lezaj UC 209 FAG,10,2340
Lezaj UC 210 FAG,14,2660
Lezaj UC 211 FAG,5,3440
Lezaj UC 212 FAG,6,4510
Lezaj UCFL 204-J7 FAG,27,1670
Lezaj UCFL 205-J7 FAG,33,1970
Lezaj UCFL 206-J7 FAG,14,2370
Lezaj UCFL 207-J7 FAG,16,2770
Lezaj UCFL 208-J7 FAG,7,3200
Lezaj UCFL 209-J7 FAG,10,3730
Lezaj UCFL 210-J7 FAG,10,4330
Lezaj UCF 204-J7 FAG,8,1670
Lezaj UCF 205-J7 FAG,18,1970
Lezaj UCF 206-J7 FAG,10,2370
Lezaj UCF 207-J7 FAG,12,2770
Lezaj UCF 208-J7 FAG,9,3200
Lezaj UCF 209-J7 FAG,9,3640
Lezaj UCF 210-J7 FAG,16,4260
Lezaj UCF 211-J7 FAG,17,5650
Lezaj UCF 212-J7 FAG,3,7020
Lezaj UCT 205-J7 FAG,8,2400
Lezaj UCT 207-J7 FAG,9,3340
Lezaj UCT 208-J7 FAG,10,3930
Lezaj UCT 209-J7 FAG,4,4500
Lezaj UCT 210-J7 FAG,5,4930
Lezaj UCT 211-J7 FAG,6,5500
Lezaj UCT 212-J7 FAG,2,7940
Lezaj UCT 215-J7 FAG,5,17565
Lezaj UCFC 204-J7 FAG,25,2220
Lezaj UCFC 205-J7 FAG,12,2430
Lezaj UCFC 206-J7 FAG,8,2920
Lezaj UCFC 207-J7 FAG,8,3340
Lezaj UCFC 208-J7 FAG,10,3930
Lezaj UCFC 209-J7 FAG,4,4500
Lezaj UCFC 210-J7 FAG,6,4930
Lezaj UCFC 211-J7 FAG,3,6200
Lezaj UCP 204-J7 FAG,9,1670
Lezaj UCP 205-J7 FAG,7,1970
Lezaj UCP 206-J7 FAG,24,2370
Lezaj UCP 207-J7 FAG,6,2770
Lezaj UCP 208-J7 FAG,16,3200
Lezaj UCP 209-J7 FAG,11,3640
Lezaj UCP 210-J7 FAG,9,4260
Lezaj UCP 211-J7 FAG,13,5560
Lezaj UCP 212-J7 FAG,12,7020
Ku}i{te S-205 FKL  ,7,565
Ku}i{te S-206 FKL       ,9,650
Ku}i{te S-207 FKL       ,7,700
Ku}i{te S-208 FKL       ,5,840
Ku}i{te S-209 FKL ,3,915
Ku}i{te S-210 FKL    ,4,1125
Ku}i{te F-208 FKL       ,2,825
Ku}i{te F-209 FKL  ,3,1005
Ku}i{te F-210 FKL  ,3,1170
Ku}i{te C-205 FKL,2,210
Ku}i{te C-206 FKL,2,250
Ku}i{te C-207 FKL,2,270
Ku}i{te F-206 FKL  ,6,695
Ku}i{te F-207 FKL,18,760
Ku}i{te N-208 FKL         ,1,765
Ku}i{te N-209 FKL         ,5,915
Ku}i{te N-210 FKL         ,2,1115
Ku}i{te N-211 FKL      ,2,1000
Ku}i{te G-205 FKL      ,1,930
Lezaj Q 204 DKF,1,1440
Lezaj QJ 207 MPA FAG,3,4330
